CURP,hora_entrada,hora_salida
QFLI951116HXOKBG54,20:08:55,20:11:07
VJXE951228HLDRNI97,19:40:16,20:38:59
NXOH961227MVPEXT31,19:49:13,20:08:25
HYCG971119MYJVIC99,12:13:34,20:00:50
SCFQ910718MWTYFR01,14:18:50,21:21:13
EMVU881218HMTSFE80,8:39:26,20:11:47
JHMW670907HAGWOQ81,13:44:11,21:07:30
GBVS931218HXAJQC26,18:17:43,21:57:15
IBZH711028HBRNVA85,20:06:00,21:09:41
GUVK851118MPKSQJ69,13:05:38,21:23:13
CYQU911107MGXBTA95,8:58:42,20:16:23
NBKG951228HBZSYO86,15:16:25,20:47:55
QSZI911028MENJFD70,12:02:06,20:06:28
ANLT991025HLUSQV74,19:34:43,21:09:54
RABQ731203HAOQFS31,7:20:47,21:34:51
VCLM871005HNAMGT84,16:13:44,20:41:06
ABZE921016HXECUH15,17:33:02,21:49:19
ARYS760909MUAZCS61,12:08:10,21:48:56
DYNO911007MWUHON68,8:39:07,21:20:28
LBUI971229HAVDZT48,20:40:26,20:55:43
GYID971219MLODRI88,16:27:41,21:38:47
LZCD831206MJNXGP96,9:12:39,20:35:51
XFBA921208HLCXBN26,15:10:59,21:09:23
LPAH891229MWBYFP84,20:05:53,21:57:03
KPZR821229MWGFYS44,10:20:41,20:30:23
EWRB991129HGDLYK94,13:37:54,20:44:12
PDFW691227HUHWRJ03,9:30:52,20:33:25
QHJZ711206HPWKCD99,7:48:41,21:19:05
JIAD721129HPWVLB62,11:53:05,20:36:35
KOJA890909HMXDTC81,11:53:51,21:42:22
DGOY801209HESZJQ83,14:22:21,21:55:18
OGRM741017MCPZVO05,18:29:48,20:38:58
GQFE951008HFTJAI94,18:28:52,20:38:45
IKZP801129HIRZDQ68,14:52:33,20:50:49
NOBE941009HQZRAC04,14:13:28,21:16:10
ZWAF661218MAXPUF22,10:22:13,20:45:46
CJGF961219HODLIM92,8:49:36,20:43:43
IGSD950728HQXPBH35,9:01:19,21:12:50
ISOU941129HNWBSK49,9:09:53,20:07:27
CLWV600919HZDSTX63,9:16:16,21:26:46
JSAV691128HDBZRF83,19:24:23,21:32:08
OUAI931117HRFVCW77,12:58:20,21:01:25
VBHS951127HEXWSO30,18:42:22,20:34:12
WHIV691226HEHISQ48,12:06:53,20:12:40
MPSC851016MCRMIZ14,10:38:02,21:00:04
VPJC811229HRDJWN56,12:35:15,20:47:10
NROG991229HXTJFB76,8:36:21,20:36:28
BTAK961009MCSVXU63,14:18:02,21:08:47
HZQP881119MWYJDC24,8:59:23,21:16:25
UAGT931109MYZLSI14,8:47:06,21:39:16
HINS831227MYVBQF62,11:50:58,20:31:12
GZSF701029HBSOAP42,12:45:42,20:58:25
THFA981128MZQGVE12,11:04:07,20:40:32
JXMW931229HXMKYZ71,17:36:27,20:06:19
FJOE871229HPVWIT40,7:13:37,20:40:29
IFTJ901019HERDAC03,11:59:35,21:30:09
WKIV961128MXJWLG21,10:39:56,20:46:28
ZYHG961229MDPIHJ48,17:20:32,21:55:09
MCTV921206HVJAUH94,17:54:41,20:53:56
USQA820929MCMTGX57,19:46:03,21:46:54
RSHB840609MSDXIM90,18:06:07,21:32:31
OAPT640928MPDRBS33,17:59:09,21:43:41
HEST831027MGKJCU38,18:38:31,21:41:14
OEXT711229HRWYPZ56,16:06:22,20:08:15
PART731228MPFVLA57,10:56:53,20:38:12
MEKQ820828MLGEIC35,10:43:03,21:35:58
EDML681207HZSGNV30,18:03:27,20:40:48
EDCS991229HAPDVO10,19:07:14,21:05:42
OVMB971208HELTNU61,9:09:48,20:53:23
WTAY901109MAPIQZ16,9:36:30,21:34:49
EUXY791108HTWEJF98,18:23:45,21:39:46
QNWD951019HWEDJU66,11:15:39,20:46:01
MSPY971216HQPLNC76,11:54:22,20:58:31
UXCQ801229HGHSDL95,17:21:17,21:12:18
BHWM711129MAIZUJ89,10:22:35,20:49:30
CBDI981206MJBKAF91,15:50:19,21:45:15
SYAJ911028HSZDIA63,19:24:31,20:51:17
LQRY961226HBWUNL97,11:26:31,20:39:41
LJKQ871129MJWASI04,14:25:13,20:33:42
ZOGW991208HTHEMY59,12:36:14,21:42:58
DXOR611129HIAZBC82,17:04:50,21:55:56
WJBT871028MWTDFE91,9:55:10,21:42:16
PASV921115HVGCPY62,8:26:41,21:15:18
QCTV921228MRXAID14,11:20:29,21:55:43
DSWU961208MOGBEV35,16:56:03,20:03:07
TUMI941029MVERAN50,20:41:57,21:01:37
TDBC901228HGUPZI18,9:34:21,21:50:29
SUQO621219MFAJLT48,17:10:06,20:14:58
DBJY641229HWACQN74,9:39:45,20:01:07
DMZS931127HXLFIV89,14:27:06,21:57:19
QJGA631229MENPRQ37,17:53:43,20:19:36
MADY651229HVEUCK71,11:11:56,21:32:58
PVML651229MFEMZP15,15:00:42,21:57:21
NXVW890929MRBYKT93,15:04:12,21:32:15
BLOA881229HWNQJZ23,7:58:28,21:30:39
UIGQ981228HAHYZP00,14:56:42,20:46:43
AOWV981119MHGRAP70,18:15:32,20:04:00
ODMB910919HFBTJI55,15:28:47,20:16:01
TZUF771208HICFPK44,8:01:22,21:21:06
ZNGA841208HUECDH58,15:47:00,20:30:41
CJLT961229MKTXEI61,11:24:12,20:50:13
XVLF751226MPGDHA04,7:05:00,21:17:10
RXVL951206HUTJFZ18,20:26:13,21:21:22
SLYB881016MAWOZN42,9:48:59,21:53:26
QFUW951029HZBTXO58,8:14:05,21:47:47
OEKF721227MJOFQC63,17:23:21,21:30:12
ZPOL990929MTZYGD19,13:43:41,20:20:43
DBUL701218MCFGRS59,18:30:31,20:53:52
MNZH751029MRMFUW01,15:24:09,20:19:49
GIJL941215HTMYGB00,19:15:33,21:56:03
GDLU911219MGCPRV26,13:55:29,21:12:22
PKJW961229MIBFPD80,20:34:46,20:18:42
UMTZ781228HVZLQC68,18:48:56,21:57:33
DNJK931029HYSTBC01,9:27:00,20:21:52
JDGH980909MQUWZL18,19:40:17,21:23:01
FWTD741108MBVAGL41,13:58:49,21:09:04
SIBT970909MKDNIF58,7:23:26,20:45:45
ROXP681229HKEFYZ49,13:32:48,20:25:17
KBWX841229MBKXUV85,11:02:43,21:39:14
FJPH631218HJIPBK41,14:38:20,20:58:30
MTNX881207HZDXUY85,19:14:37,20:40:23
YSXH691208HPOHDK14,7:06:06,20:26:04
ZFDC611116HJWVAI36,19:26:13,20:33:48
NYWD881229HESNAM67,12:22:02,20:16:54
SMDL911208MPIORZ03,14:35:29,20:33:46
EKVB811229MOKVJA55,16:01:42,21:40:28
