id_cobro,id_viaje,curp,descuento,monto,monto_final
1,1,QFLI951116HXOKBG54,10,337.16,303.44
2,2,VJXE951228HLDRNI97,10,95.16,85.64
3,3,NXOH961227MVPEXT31,10,258.76,232.88
4,4,HYCG971119MYJVIC99,10,42.92,38.63
5,5,SCFQ910718MWTYFR01,10,285.24,256.72
6,6,EMVU881218HMTSFE80,10,63.48,57.13
7,7,JHMW670907HAGWOQ81,10,48.12,43.31
8,8,GBVS931218HXAJQC26,10,230.68,207.61
9,9,IBZH711028HBRNVA85,10,150.6,135.54
10,10,GUVK851118MPKSQJ69,10,321.8,289.62
11,11,CYQU911107MGXBTA95,10,93.64,84.28
12,12,NBKG951228HBZSYO86,10,225.64,203.08
13,13,QSZI911028MENJFD70,10,177.72,159.95
14,14,ANLT991025HLUSQV74,10,311.16,280.04
15,15,RABQ731203HAOQFS31,10,61.24,55.12
16,16,VCLM871005HNAMGT84,10,273.4,246.06
17,17,ABZE921016HXECUH15,10,371,333.9
18,18,ARYS760909MUAZCS61,10,47.96,43.16
19,19,DYNO911007MWUHON68,10,220.44,198.4
20,20,LBUI971229HAVDZT48,10,143.4,129.06
21,21,GYID971219MLODRI88,10,260.52,234.47
22,22,LZCD831206MJNXGP96,10,211.24,190.12
23,23,XFBA921208HLCXBN26,10,357.24,321.52
24,24,LPAH891229MWBYFP84,10,154.28,138.85
25,25,KPZR821229MWGFYS44,10,346.84,312.16
26,26,EWRB991129HGDLYK94,10,325.64,293.08
27,27,PDFW691227HUHWRJ03,10,292.84,263.56
28,28,QHJZ711206HPWKCD99,10,112.2,100.98
29,29,JIAD721129HPWVLB62,10,121.16,109.04
30,30,KOJA890909HMXDTC81,10,236.28,212.65
31,31,DGOY801209HESZJQ83,10,269.56,242.6
32,32,OGRM741017MCPZVO05,10,95.16,85.64
33,33,GQFE951008HFTJAI94,10,337.4,303.66
34,34,IKZP801129HIRZDQ68,10,87.24,78.52
35,35,NOBE941009HQZRAC04,10,74.36,66.92
36,36,ZWAF661218MAXPUF22,10,234.76,211.28
37,37,CJGF961219HODLIM92,10,70.36,63.32
38,38,IGSD950728HQXPBH35,10,157.56,141.8
39,39,ISOU941129HNWBSK49,10,115.64,104.08
40,40,CLWV600919HZDSTX63,10,140.2,126.18
41,41,JSAV691128HDBZRF83,10,363.56,327.2
42,42,OUAI931117HRFVCW77,10,284.36,255.92
43,43,VBHS951127HEXWSO30,10,185.72,167.15
44,44,WHIV691226HEHISQ48,10,195,175.5
