id_ganancia,id_viaje,CURP,RFC,ganancia,esBono
1,1,QFLI951116HXOKBG54,NKDB721129TS5,40.46,false
2,2,VJXE951228HLDRNI97,VBQA841026HB4,11.42,false
3,3,NXOH961227MVPEXT31,TECM831128CD1,31.05,false
4,4,HYCG971119MYJVIC99,NMDK681128KY6,5.15,false
5,5,SCFQ910718MWTYFR01,EAPM951129XE4,34.23,false
6,6,EMVU881218HMTSFE80,GYET751229VZ4,7.62,false
7,7,JHMW670907HAGWOQ81,JBEQ921208TO0,5.77,false
8,8,GBVS931218HXAJQC26,WANL741228OB7,27.68,false
9,9,IBZH711028HBRNVA85,LRJG910829UO0,18.07,false
10,10,GUVK851118MPKSQJ69,UPFQ821227LH4,38.62,false
11,11,CYQU911107MGXBTA95,BGTN911129XJ4,11.24,false
12,12,NBKG951228HBZSYO86,RLBH951226QN7,27.08,false
13,13,QSZI911028MENJFD70,DOTC961019TS7,21.33,false
14,14,ANLT991025HLUSQV74,LWTJ901229IV0,37.34,false
15,15,RABQ731203HAOQFS31,PREM951229LD5,7.35,false
16,16,VCLM871005HNAMGT84,NBHL801129NC7,32.81,false
17,17,ABZE921016HXECUH15,IHEL911229CB1,44.52,false
18,18,ARYS760909MUAZCS61,HYKG911209LR4,5.76,false
19,19,DYNO911007MWUHON68,IXSL781029LI6,26.45,false
20,20,LBUI971229HAVDZT48,IMAC711204FM4,17.21,false
21,21,GYID971219MLODRI88,HBFJ921127DJ1,31.26,false
22,22,LZCD831206MJNXGP96,LAVF791218YU7,25.35,false
23,23,XFBA921208HLCXBN26,GLQB811129FS9,42.87,false
24,24,LPAH891229MWBYFP84,GKQM921206HU3,18.51,false
25,25,KPZR821229MWGFYS44,KVPF601108TN1,41.62,false
26,26,EWRB991129HGDLYK94,KBNE991219ME2,39.08,false
27,27,PDFW691227HUHWRJ03,LRTJ991209LT2,35.14,false
28,28,QHJZ711206HPWKCD99,EYBQ891216WS9,13.46,false
29,29,JIAD721129HPWVLB62,RAFJ881219AY7,14.54,false
30,30,KOJA890909HMXDTC81,DKSQ891009ZP6,28.35,false
31,31,DGOY801209HESZJQ83,PMYX801224IE0,32.35,false
32,32,OGRM741017MCPZVO05,BXDM671019HC4,11.42,false
33,33,GQFE951008HFTJAI94,IZRN911227OM2,40.49,false
34,34,IKZP801129HIRZDQ68,WDNR941219GA6,10.47,false
35,35,NOBE941009HQZRAC04,MFDX810928PB4,8.92,false
36,36,ZWAF661218MAXPUF22,QUDK891028TE7,28.17,false
37,37,CJGF961219HODLIM92,JAHB801109AM2,8.44,false
38,38,IGSD950728HQXPBH35,ETUC931019ZB9,18.91,false
39,39,ISOU941129HNWBSK49,WHAL721118UO8,13.88,false
40,40,CLWV600919HZDSTX63,DKGE971119MI5,16.82,false
41,41,JSAV691128HDBZRF83,MHZD921228NO2,43.63,false
42,42,OUAI931117HRFVCW77,YXBU901027AI5,34.12,false
43,43,VBHS951127HEXWSO30,FZIN810706SM2,22.29,false
44,44,WHIV691226HEHISQ48,DQUA991108NP0,23.4,false
45,45,MPSC851016MCRMIZ14,CEMA900927VG4,37.32,false
46,46,VPJC811229HRDJWN56,OXLR810919WP1,36.78,false
47,47,NROG991229HXTJFB76,SVMO861226HP7,6.61,false
48,48,BTAK961009MCSVXU63,NGAE991207HB2,26.36,false
49,49,HZQP881119MWYJDC24,HPEO911129FS0,28.09,false
50,50,UAGT931109MYZLSI14,XRKO931219GP1,44.18,false
51,51,HINS831227MYVBQF62,PQFY980829KG1,9.79,false
52,52,GZSF701029HBSOAP42,VXTQ810929ZB9,23.52,false
53,53,THFA981128MZQGVE12,UWIK811119HC5,16.23,false
54,54,JXMW931229HXMKYZ71,CDPU891119EF3,25.42,false
55,55,FJOE871229HPVWIT40,VROK961228LH0,26.5,false
56,56,IFTJ901019HERDAC03,EUTO881209AS6,20.57,false
57,57,WKIV961128MXJWLG21,BIEC921008NJ8,32.51,false
58,58,ZYHG961229MDPIHJ48,BNGH601228QB6,18.26,false
59,59,MCTV921206HVJAUH94,EQSV940519PJ1,22.14,false
60,60,USQA820929MCMTGX57,WZFT701228OH5,6.22,false
61,61,RSHB840609MSDXIM90,VKZU911109NS0,38.89,false
62,62,OAPT640928MPDRBS33,FYOX941129LE1,9.83,false
63,63,HEST831027MGKJCU38,YGBL940917HT1,17.26,false
64,64,OEXT711229HRWYPZ56,ZOPQ951227DS6,41.43,false
65,65,PART731228MPFVLA57,PBGT671228VU7,23.84,false
66,66,MEKQ820828MLGEIC35,DQXR881229MN4,8.16,false
67,67,EDML681207HZSGNV30,WUYQ871228AM0,22.93,false
68,68,EDCS991229HAPDVO10,OCNE991229LJ0,22.35,false
69,69,OVMB971208HELTNU61,TKIX931225JC1,27.98,false
70,70,WTAY901109MAPIQZ16,NCUD971105JY5,42.42,false
