CURP,nombre_cliente,paterno_cliente,materno_cliente,Localidad,calle_cliente,numero_cliente,CP_cliente,tipo_cliente,fotografia_cliente,telefono_casa,telefono_celular_cliente,Edificio,correo_electronico_cliente
QFLI951116HXOKBG54,MARIA INES,ABADIE,FOSSATTI,ALVARO OBREGON,BALVANERA  ,777,99919,A,qgih/iacgyhmk.jft,94-91-25-40,55-88-64-85-68,Facultad de Medicina Veterinaria y Zootecnia,ewilliam0@mac.com
VJXE951228HLDRNI97,RAQUEL ELIZABET,ABAL,NICOLARI,COYOACAN,MONTE ALBAN  ,3,90456,A,geumdalbc/bzrwd.lhj,34-70-09-66,55-77-13-96-78,Facultad de Psicologia,jwinterscale1@discovery.com
NXOH961227MVPEXT31,MAR?A ROSARIO,ABALDE,MARTINEZ,TLAHUAC,MARINA NACIONAL  ,93,75189,A,zxljteuqdo/dqwzncasf.rlo,17-76-40-58,55-69-35-26-87,Facultad de Medicina Veterinaria y Zootecnia,maizikovitch2@meetup.com
HYCG971119MYJVIC99,ALBERTO OSCAR,ABALOS,ROCHON,IZTAPALAPA,AV. ERMITA  ,31035,41337,A,phumio/kfhcuye.exg,67-34-04-64,55-57-66-65-40,Facultad de Ciencias,ocosin3@weebly.com
SCFQ910718MWTYFR01,ARIEL,ABARNO,SILVA,CUAJIMALPA,MARIA ELENA SANDOVAL  ,5217,22229,A,xbqt/yodxjcequ.tqu,80-84-16-40,55-60-76-31-07,Facultad de Ciencias,beagar4@archive.org
EMVU881218HMTSFE80,WINSTON FRANKLIN,ABASCAL,BELOQUI,BENITO JUAREZ,MONROVIA  ,14040,70733,A,bpcefurkh/amzorud.bxq,61-55-30-52,55-90-41-53-44,Facultad de Musica,idecayette5@freewebs.com
JHMW670907HAGWOQ81,PABLO DANIEL,ABDALA,SCHWARZ,TLALPAN,BOCA DEL RIO  ,15326,62085,A,onvcyfsm/dkczag.zqt,92-36-47-17,55-25-74-14-56,Facultad de Odontologia,mpetranek6@linkedin.com
GBVS931218HXAJQC26,MERCEDES MARIA,ABDALA,SOSA,CUAHUTEMOC,MONTE ALBAN  ,4891,32113,A,uxqvwjkz/gowyzlk.ykh,80-68-41-85,55-19-80-48-31,Facultad de Psicologia,mhully7@google.com.au
IBZH711028HBRNVA85,JORGE MARIA,ABIN,DE MARIA,GUSTAVO A. MADERO,PROL DE GUADALUPE Y RAMIREZ  ,26393,24110,A,tlaukrmjy/rujdi.xbu,74-84-52-53,55-35-81-19-84,Facultad de Psicologia,mbillo8@accuweather.com
GUVK851118MPKSQJ69,ALCIDES,ABREU,HERNANDEZ,VENUSTIANO CARRANZA,PROL AHUEJOTES  ,55,94389,A,kbfjtwsa/owbnyhz.rpf,72-21-66-08,55-29-35-54-33,Facultad de Ciencias,cstainer9@weibo.com
CYQU911107MGXBTA95,MIRTA GRACIELA,ABREU,NUNEZ,MIGUEL HIDALGO,JESUS GARCIA MORALES  ,7707,66809,A,boepngqvs/xpadot.bwo,55-24-25-01,55-30-47-12-02,Facultad de Ciencias,lnattrassa@fema.gov
NBKG951228HBZSYO86,SERGIO,ABREU,BONILLA,IZTACALCO,CERRADA DE CUAUHTEMOC  ,49,29864,A,qpuvnaoh/kxzndcfmow.pib,38-35-32-06,55-16-67-94-58,Facultad de Ciencias,ldupoyb@bloomberg.com
QSZI911028MENJFD70,DORITA,ABUCHALJA,SEADE,AZCAPOTZALCO,TENTEL  ,99424,33208,A,peyvrw/hiwudykbzc.oaw,25-40-62-08,55-14-68-55-88,Facultad de Ciencias,wterranc@myspace.com
ANLT991025HLUSQV74,HUGO JOSE,ACHUGAR,FERRARI,ALVARO OBREGON,GUIPUZCOA  ,746,84635,A,efgpuomi/jmpqbvdc.ozy,25-31-53-98,55-03-77-89-84,Facultad de Ciencias,rbellied@360.cn
RABQ731203HAOQFS31,JOSE BARTOLOME,ACOSTA,MADERA,COYOACAN,BOULEVARD MALINTZI  ,894,73506,A,joag/zyhnf.tyk,12-68-05-72,55-87-63-26-46,Facultad de Ciencias,iwawere@accuweather.com
VCLM871005HNAMGT84,NELSON EDUARDO,ACOSTA,MARTINEZ,TLAHUAC,AVENIDA CENTENARIO  ,7,98648,A,silfkdm/rwmscot.ufz,33-34-30-51,55-92-28-27-19,Facultad de Ciencias,fkensholef@deliciousdays.com
ABZE921016HXECUH15,JUAN CARLOS,ACOSTA,PEREZ,IZTAPALAPA, DE SEPTIEMBRE  ,32,74268,A,pqlx/iwpebzoul.qsm,69-30-43-01,55-32-28-48-08,Facultad de Odontologia,lryamg@sakura.ne.jp
ARYS760909MUAZCS61,MARTHA VANDA,ACOSTA,PEREIRA,CUAJIMALPA,MESETA  ,57,79357,A,ghnjk/dclqybrvpx.hwp,96-93-22-88,55-23-17-51-76,Facultad de Ciencias,gbaughanh@etsy.com
DYNO911007MWUHON68,MABEL,ACOSTA,SOSA,BENITO JUAREZ,NESMEL  ,932,99144,A,bzumpkvn/nmfkebjcz.spx,77-91-16-00,55-84-83-87-85,Facultad de Quimica,jkeedyi@goo.gl
LBUI971229HAVDZT48,EFRAIN ANDRES,ACU?A,CABRERA,TLALPAN,CALLE   ,69,61167,A,lkwty/mazwqjotup.flc,44-14-71-16,55-38-67-24-12,Facultad de Ciencias,sstreetfieldj@archive.org
GYID971219MLODRI88,VICTOR ESTEBAN,ACU?A,GUTIERREZ,CUAHUTEMOC,CALLEJON ITURBE  ,0,28373,A,uzqeysh/nuhcdbjz.hsj,78-68-60-41,55-90-17-87-04,Facultad de Quimica,khaslumk@cloudflare.com
LZCD831206MJNXGP96,GERARDO,ADDIEGO,PROSPERO,GUSTAVO A. MADERO,ADRIAN BROWER  ,72642,16393,A,rfgqzehtlw/cgjhzlxaqk.cfw,88-80-56-82,55-57-73-24-84,Facultad de Psicologia,stuffeyl@odnoklassniki.ru
XFBA921208HLCXBN26,ERNESTO,AGAZZI,SARASOLA,VENUSTIANO CARRANZA,GUIPUZCOA  ,53,40989,A,iplq/nfrpka.bpx,01-74-32-73,55-84-78-19-54,Facultad de Ciencias,nmansourm@odnoklassniki.ru
LPAH891229MWBYFP84,STELLA SERRANA,AGUERRE,PEREIRO,MIGUEL HIDALGO,ZEMPOALTEPETL  ,9393,83185,A,oziwldk/yansopcz.rev,91-86-30-51,55-47-92-16-34,Facultad de Ciencias,lcookleyn@csmonitor.com
KPZR821229MWGFYS44,TABARE,AGUERRE,LOMBARDO,IZTACALCO,ALTOMONTE  ,608,96788,A,wzvhe/dveuyos.vwg,45-80-63-44,55-41-51-49-67,Facultad de Ciencias,ffildeo@addtoany.com
EWRB991129HGDLYK94,SILVIA,AGUIAR,MONTES,AZCAPOTZALCO,HUERTAS  ,8912,17504,A,pizn/gmeo.cim,98-73-25-74,55-43-89-59-73,Facultad de Odontologia,jmccullaghp@businesswire.com
PDFW691227HUHWRJ03,CLAUDIO MARTIN,AGUILAR,CRUZ,ALVARO OBREGON,NESMEL  ,6,56041,A,ksfhvazgdo/cjhns.fxr,28-47-50-46,55-82-82-75-91,Facultad de Odontologia,aeaklyq@blinklist.com
QHJZ711206HPWKCD99,VICTOR HUGO,AGUILAR,AGUILAR,COYOACAN,CHICARAS  ,55427,78552,A,jwxiyv/jideuzwvrn.wyz,77-72-62-25,55-76-76-69-86,Facultad de Ciencias,dhucknallr@artisteer.com
JIAD721129HPWVLB62,JOSE EDUARDO,AGUI?AGA,CORBO,TLAHUAC,PRIVADA FARALLON  ,17,70876,A,kmob/gedw.feo,29-87-13-55,55-67-43-23-04,Facultad de Ciencias,jbullards@yahoo.com
KOJA890909HMXDTC81,JOSE MARIA,AGUIRRE,CORDOBA,IZTAPALAPA,EMILIANO CARRANZA  ,642,71319,A,huvzgsdekt/ijdwbg.fyo,89-35-84-00,55-54-68-50-86,Facultad de Psicologia,sgundat@skyrock.com
DGOY801209HESZJQ83,MAR?A ROSA,AGUIRRE,SEPILOV,CUAJIMALPA,AMEZQUITE  ,42,97234,A,flwntjxm/meybpas.sgy,88-89-16-12,55-76-96-20-47,Facultad de Ciencias,kscotchfordu@sun.com
OGRM741017MCPZVO05,CARLOS WALDEMAR,AGUIRRE,DANIELE,BENITO JUAREZ,BAJADA DEL SALTO  ,8179,52392,A,hsptymueqi/rcxztbul.oye,39-75-07-25,55-95-71-86-38,Facultad de Ciencias,kjosselsonv@sitemeter.com
GQFE951008HFTJAI94,ESTEBAN RAUL,AGUSTONI,RIJO,TLALPAN,PROL DE GUADALUPE Y RAMIREZ  ,378,22873,A,qxkat/dirglkuej.iep,17-05-05-14,55-72-85-47-37,Facultad de Ciencias,rriochw@marriott.com
IKZP801129HIRZDQ68,ROBERTO,AIRALDI,GOMEZ,CUAHUTEMOC,BALVANERA  ,17,37394,A,uneb/nvgoswkfm.rmt,80-24-72-14,55-90-77-63-20,Facultad de Ciencias,ktoderix@flavors.me
NOBE941009HQZRAC04,EDGARDO RAMON,AIZCORBE,BARCIA,GUSTAVO A. MADERO,CALLE FLORES MAGON  ,751,94261,A,vgikfrqmys/htszomnwk.vqw,08-44-43-00,55-49-33-37-04,Facultad de Quimica,vleatherborrowy@columbia.edu
ZWAF661218MAXPUF22,DENISE HAIFA,AKIKI,BERHQUET,VENUSTIANO CARRANZA,HEROES DE NACOZARI  ,5,73233,A,icdz/odskxvc.glo,62-86-16-36,55-14-31-81-45,Facultad de Ciencias,mmackrellz@sakura.ne.jp
CJGF961219HODLIM92,MIGUEL ANGEL,ALANIZ,ECHEVERRY,MIGUEL HIDALGO,PONIENTE   ,21,87395,A,nmjfp/owzj.eta,34-41-26-61,55-52-60-80-88,Facultad de Quimica,hlars10@moonfruit.com
IGSD950728HQXPBH35,CARLOS,ALBISU,GUZMAN,IZTACALCO,CALLE   ,82,80554,A,ewloc/ylotw.soh,29-54-11-90,55-32-06-13-62,Facultad de Psicologia,hrylett11@indiegogo.com
ISOU941129HNWBSK49,MANUEL NARCISO,ALBISU,BRITOS,AZCAPOTZALCO,CALLE FLORES MAGON  ,6103,24748,A,qwifouhc/xklfuowed.wfs,27-64-29-77,55-41-36-52-88,Facultad de Ciencias,msimonnin12@merriam-webster.com
CLWV600919HZDSTX63,RUBEN DARIO,ALBOA,GOMEZ,ALVARO OBREGON,TABASCO  ,7,99295,A,whroqup/cvxti.xia,66-21-85-68,55-55-97-12-88,Facultad de Ciencias,gfallanche13@google.nl
JSAV691128HDBZRF83,MARIO BERNABE,ALBORNOZ,DE MELLO,COYOACAN,FRACCIONAMIENTO LAS ARBOLEDAS  ,82614,90823,A,thui/rmzvkyc.xjk,14-30-15-21,55-73-58-89-84,Facultad de Quimica,rodonnelly14@arizona.edu
OUAI931117HRFVCW77,YAMANDU,ALCANTARA,SANCHEZ,TLAHUAC,CALLE   ,38968,77119,A,qamngircjp/cfkaxtyjn.fow,66-04-34-83,55-36-64-23-38,Facultad de Quimica,kscaife15@hc360.com
