num_economico,RFC
1451,NKDB721129TS5
8869,VBQA841026HB4
2000,TECM831128CD1
6213,NMDK681128KY6
2289,EAPM951129XE4
1606,GYET751229VZ4
3532,JBEQ921208TO0
6899,WANL741228OB7
9895,LRJG910829UO0
9544,NKDB721129TS5
5461,BGTN911129XJ4
5214,RLBH951226QN7
9819,DOTC961019TS7
9360,LWTJ901229IV0
8084,PREM951229LD5
4532,NMDK681128KY6
7328,EAPM951129XE4
1700,HYKG911209LR4
1289,IXSL781029LI6
4591,IMAC711204FM4
9889,HBFJ921127DJ1
1176,LAVF791218YU7
6851,GLQB811129FS9
9858,GKQM921206HU3
1862,KVPF601108TN1
1679,KBNE991219ME2
5294,LRTJ991209LT2
9100,EYBQ891216WS9
6930,NKDB721129TS5
2568,DKSQ891009ZP6
6578,PMYX801224IE0
8699,BXDM671019HC4
7329,IZRN911227OM2
7102,WDNR941219GA6
8917,MFDX810928PB4
8141,QUDK891028TE7
7503,JAHB801109AM2
3862,ETUC931019ZB9
1263,WHAL721118UO8
7569,DKGE971119MI5
9279,MHZD921228NO2
3619,NMDK681128KY6
5860,EAPM951129XE4
2540,DQUA991108NP0
6391,CEMA900927VG4
5950,OXLR810919WP1
1531,SVMO861226HP7
7069,NGAE991207HB2
6010,HPEO911129FS0
9860,XRKO931219GP1
3761,PQFY980829KG1
8900,VXTQ810929ZB9
5919,UWIK811119HC5
3524,CDPU891119EF3
5808,VROK961228LH0
2338,EUTO881209AS6
7544,BIEC921008NJ8
2578,VBQA841026HB4
5575,EQSV940519PJ1
2910,WZFT701228OH5
3346,NBHL801129NC7
2220,FYOX941129LE1
3401,YGBL940917HT1
8411,ZOPQ951227DS6
1932,NBHL801129NC7
3104,DQXR881229MN4
4272,WUYQ871228AM0
8865,OCNE991229LJ0
6413,TKIX931225JC1
3621,NCUD971105JY5
9953,SWUN881116UB9
1178,ZMSO971204EF3
1458,XNQS801129GH8
8223,IUBW621202BA4
4277,XAWI611208JZ6
8726,YOIP981219ZU8
7719,SVPQ981228CQ2
1981,IYUJ861208NL3
8819,OQJU801229IG9
1046,YKUB950826IM8
3923,TYLW941229QJ3
8056,RIZK971106HY8
8364,CVUL950529NU6
3383,LCYE921219LU8
4264,KVPF601108TN1
2036,KBNE991219ME2
2458,XYWC991229RO1
2863,LNFP971116GI2
4083,NEGI951229IG4
1979,XHBO641206AB2
9719,BRAF801227ZC0
2478,YRGI891207IT2
4482,KVQL930727XH6
9125,PIVY941119BZ3
7739,JSOC901129ZA7
3680,NEDW731227SU7
6335,KVPF601108TN1
3660,KBNE991219ME2
6296,SYXU921207SB8
8562,BKAT711129SA6
1688,HSEB951009EQ0
7363,RBGD831229FI1
9565,XRKO931219GP1
9391,SIUJ971009KO3
6831,XNWM851229LG5
5051,FTHQ941209EG0
9254,KGFT850929XD4
1218,WTMO991229KM7
9880,KVPF601108TN1
