id_viaje,CURP,RFC,num_economico,tiempo,distancia,lugar_origen,lugar_destino,fecha_viaje
1,QFLI951116HXOKBG54,NKDB721129TS5,1451,14:32:36,40.27,Facultad de Medicina Veterinaria y Zootecnia,Alvaro Obregon Northfield 777 99919,2008-02-22
2,VJXE951228HLDRNI97,VBQA841026HB4,8869,14:35:47,10.02,Facultad de Psicologia,Coyoacan Donald 3 90456,2015-10-30
3,NXOH961227MVPEXT31,TECM831128CD1,2000,14:39:15,30.47,Facultad de Medicina Veterinaria y Zootecnia,Tlahuac Westridge 93 75189,2016-01-07
4,HYCG971119MYJVIC99,NMDK681128KY6,6213,14:54:34,3.49,Facultad de Ciencias,Iztapalapa Vernon 31035 41337,2017-10-03
5,SCFQ910718MWTYFR01,EAPM951129XE4,2289,14:02:36,33.78,Facultad de Ciencias,Cuajimalpa Maple Wood 5217 22229,2014-10-14
6,EMVU881218HMTSFE80,GYET751229VZ4,1606,13:07:12,6.06,Facultad de Musica,Benito Juarez Artisan 14040 70733,2010-06-02
7,JHMW670907HAGWOQ81,JBEQ921208TO0,3532,13:48:50,4.14,Facultad de Odontologia,Tlalpan Farragut 15326 62085,2008-01-07
8,GBVS931218HXAJQC26,WANL741228OB7,6899,14:46:50,26.96,Facultad de Psicologia,Cuahutemoc Washington 4891 32113,2014-09-08
9,IBZH711028HBRNVA85,LRJG910829UO0,9895,14:44:24,16.95,Facultad de Psicologia,Gustavo A. Madero Vermont 26393 24110,2011-09-14
10,GUVK851118MPKSQJ69,UPFQ821227LH4,9544,13:36:07,38.35,Facultad de Ciencias,Venustiano Carranza Sycamore 55 94389,2010-02-11
11,CYQU911107MGXBTA95,BGTN911129XJ4,5461,13:34:50,9.83,Facultad de Ciencias,Miguel Hidalgo Maryland 7707 66809,2012-08-26
12,NBKG951228HBZSYO86,RLBH951226QN7,5214,14:43:03,26.33,Facultad de Ciencias,Iztacalco Merchant 49 29864,2009-02-23
13,QSZI911028MENJFD70,DOTC961019TS7,9819,13:42:05,20.34,Facultad de Ciencias,Azcapotzalco Sherman 99424 33208,2008-06-06
14,ANLT991025HLUSQV74,LWTJ901229IV0,9360,14:22:02,37.02,Facultad de Ciencias,Alvaro Obregon Maywood 746 84635,2016-07-12
15,RABQ731203HAOQFS31,PREM951229LD5,8084,13:53:22,5.78,Facultad de Ciencias,Coyoacan Main 894 73506,2018-11-17
16,VCLM871005HNAMGT84,NBHL801129NC7,4532,13:30:09,32.3,Facultad de Ciencias,Tlahuac Mayfield 7 98648,2015-05-17
17,ABZE921016HXECUH15,IHEL911229CB1,7328,13:06:57,44.5,Facultad de Odontologia,Iztapalapa Bunting 32 74268,2014-10-13
18,ARYS760909MUAZCS61,HYKG911209LR4,1700,13:23:33,4.12,Facultad de Ciencias,Cuajimalpa New Castle 57 79357,2017-02-22
19,DYNO911007MWUHON68,IXSL781029LI6,1289,13:43:53,25.68,Facultad de Quimica,Benito Juarez Heath 932 99144,2012-04-26
20,LBUI971229HAVDZT48,IMAC711204FM4,4591,13:35:51,16.05,Facultad de Ciencias,Tlalpan Warrior 69 61167,2015-07-19
21,GYID971219MLODRI88,HBFJ921127DJ1,9889,13:04:18,30.69,Facultad de Quimica,Cuahutemoc Eastlawn 0 28373,2008-03-21
22,LZCD831206MJNXGP96,LAVF791218YU7,1176,14:03:44,24.53,Facultad de Psicologia,Gustavo A. Madero Mcguire 72642 16393,2016-02-04
23,XFBA921208HLCXBN26,GLQB811129FS9,6851,13:33:16,42.78,Facultad de Ciencias,Venustiano Carranza Stang 53 40989,2009-09-10
24,LPAH891229MWBYFP84,GKQM921206HU3,9858,14:25:49,17.41,Facultad de Ciencias,Miguel Hidalgo Crest Line 9393 83185,2017-05-25
25,KPZR821229MWGFYS44,KVPF601108TN1,1862,14:01:22,41.48,Facultad de Ciencias,Iztacalco Summer Ridge 608 96788,2016-08-14
26,EWRB991129HGDLYK94,KBNE991219ME2,1679,13:02:31,38.83,Facultad de Odontologia,Azcapotzalco Autumn Leaf 8912 17504,2014-10-11
27,PDFW691227HUHWRJ03,LRTJ991209LT2,5294,14:02:20,34.73,Facultad de Odontologia,Alvaro Obregon Merry 6 56041,2017-06-10
28,QHJZ711206HPWKCD99,EYBQ891216WS9,9100,13:45:14,12.15,Facultad de Ciencias,Coyoacan Summit 55427 78552,2016-03-06
29,JIAD721129HPWVLB62,RAFJ881219AY7,6930,14:49:54,13.27,Facultad de Ciencias,Tlahuac Brown 17 70876,2010-02-02
30,KOJA890909HMXDTC81,DKSQ891009ZP6,2568,14:40:41,27.66,Facultad de Psicologia,Iztapalapa Morning 642 71319,2015-11-09
31,DGOY801209HESZJQ83,PMYX801224IE0,6578,14:52:47,31.82,Facultad de Ciencias,Cuajimalpa Hoffman 42 97234,2011-12-09
32,OGRM741017MCPZVO05,BXDM671019HC4,8699,13:35:39,10.02,Facultad de Ciencias,Benito Juarez Di Loreto 8179 52392,2011-08-14
33,GQFE951008HFTJAI94,IZRN911227OM2,7329,14:12:24,40.3,Facultad de Ciencias,Tlalpan Nancy 378 22873,2009-02-03
34,IKZP801129HIRZDQ68,WDNR941219GA6,7102,13:56:58,9.03,Facultad de Ciencias,Cuahutemoc Emmet 17 37394,2014-08-02
35,NOBE941009HQZRAC04,MFDX810928PB4,8917,14:50:41,7.42,Facultad de Quimica,Gustavo A. Madero Russell 751 94261,2014-11-20
36,ZWAF661218MAXPUF22,QUDK891028TE7,1451,13:48:03,27.47,Facultad de Ciencias,Venustiano Carranza Sunfield 5 73233,2014-10-07
37,CJGF961219HODLIM92,JAHB801109AM2,7503,14:57:09,6.92,Facultad de Quimica,Miguel Hidalgo Thackeray 21 87395,2012-05-18
38,IGSD950728HQXPBH35,ETUC931019ZB9,3862,14:51:06,17.82,Facultad de Psicologia,Iztacalco Nova 82 80554,2009-08-07
39,ISOU941129HNWBSK49,WHAL721118UO8,1263,13:18:46,12.58,Facultad de Ciencias,Azcapotzalco Everett 6103 24748,2018-09-21
40,CLWV600919HZDSTX63,DKGE971119MI5,7569,14:23:22,15.65,Facultad de Ciencias,Alvaro Obregon Derek 7 99295,2012-08-25
41,JSAV691128HDBZRF83,MHZD921228NO2,9279,13:32:33,43.57,Facultad de Quimica,Coyoacan Jenifer 82614 90823,2013-09-22
42,OUAI931117HRFVCW77,YXBU901027AI5,3619,13:57:55,33.67,Facultad de Quimica,Tlahuac American 38968 77119,2017-01-11
43,VBHS951127HEXWSO30,FZIN810706SM2,5860,13:14:39,21.34,Facultad de Ciencias,Iztapalapa Bellgrove 5 44510,2014-02-13
44,WHIV691226HEHISQ48,DQUA991108NP0,2540,14:27:52,22.5,Facultad de Quimica,Cuajimalpa Ridge Oak 51 81571,2018-03-29
45,MPSC851016MCRMIZ14,CEMA900927VG4,6391,13:19:30,37,Facultad de Quimica,Benito Juarez Alpine 154 15719,2011-01-23
46,VPJC811229HRDJWN56,OXLR810919WP1,5950,14:05:46,36.44,Facultad de Quimica,Tlalpan Forest Run 591 41949,2015-02-21
47,NROG991229HXTJFB76,SVMO861226HP7,1531,14:49:40,5.01,Facultad de Odontologia,Cuahutemoc Ilene 1898 71417,2016-11-15
48,BTAK961009MCSVXU63,NGAE991207HB2,7069,13:39:01,25.58,Facultad de Quimica,Gustavo A. Madero Prairieview 9713 81292,2008-03-28
49,HZQP881119MWYJDC24,HPEO911129FS0,6010,13:42:40,27.39,Facultad de Ciencias,Venustiano Carranza Dakota 905 86978,2009-04-13
50,UAGT931109MYZLSI14,XRKO931219GP1,9860,13:59:50,44.15,Facultad de Quimica,Miguel Hidalgo Beilfuss 2 89639,2017-11-23
51,HINS831227MYVBQF62,PQFY980829KG1,3761,13:23:16,8.32,Facultad de Quimica,Iztacalco Debs 2 79448,2013-05-23
52,GZSF701029HBSOAP42,VXTQ810929ZB9,8900,13:09:14,22.62,Facultad de Odontologia,Azcapotzalco Leroy 99668 71139,2009-10-27
53,THFA981128MZQGVE12,UWIK811119HC5,5919,13:50:41,15.03,Facultad de Quimica,Alvaro Obregon Elmside 1540 22303,2014-08-05
54,JXMW931229HXMKYZ71,CDPU891119EF3,3524,13:46:40,24.6,Facultad de Quimica,Coyoacan Florence 86863 20869,2017-04-20
55,FJOE871229HPVWIT40,VROK961228LH0,5808,13:23:39,25.73,Facultad de Ciencias,Tlahuac American 4774 26130,2008-10-14
56,IFTJ901019HERDAC03,EUTO881209AS6,2338,14:47:32,19.55,Facultad de Ciencias,Iztapalapa Schlimgen 6584 41918,2012-01-28
57,WKIV961128MXJWLG21,BIEC921008NJ8,7544,13:44:51,31.99,Facultad de Quimica,Cuajimalpa Macpherson 15928 20108,2010-02-22
58,ZYHG961229MDPIHJ48,BNGH601228QB6,2578,13:35:10,17.15,Facultad de Ciencias,Benito Juarez Main 4308 32026,2010-12-16
59,MCTV921206HVJAUH94,EQSV940519PJ1,5575,14:59:11,21.19,Facultad de Ciencias,Tlalpan Lotheville 7 37558,2014-08-21
60,USQA820929MCMTGX57,WZFT701228OH5,2910,14:10:50,4.6,Facultad de Odontologia,Cuahutemoc Mandrake 9 16066,2008-05-25
61,RSHB840609MSDXIM90,VKZU911109NS0,3346,14:10:02,38.64,Facultad de Ciencias,Gustavo A. Madero Becker 87 31237,2010-04-28
62,OAPT640928MPDRBS33,FYOX941129LE1,2220,14:10:32,8.36,Facultad de Ciencias,Venustiano Carranza Jackson 61 99110,2011-09-21
63,HEST831027MGKJCU38,YGBL940917HT1,3401,14:24:22,16.1,Facultad de Ciencias,Miguel Hidalgo Duke 79 47611,2018-10-29
64,OEXT711229HRWYPZ56,ZOPQ951227DS6,8411,13:40:03,41.28,Facultad de Ciencias,Iztacalco High Crossing 351 81697,2016-06-29
65,PART731228MPFVLA57,PBGT671228VU7,1932,14:22:57,22.96,Facultad de Odontologia,Azcapotzalco Aberg 9 73137,2017-01-07
66,MEKQ820828MLGEIC35,DQXR881229MN4,3104,14:33:05,6.62,Facultad de Ciencias,Alvaro Obregon Sloan 7477 14302,2016-01-26
67,EDML681207HZSGNV30,WUYQ871228AM0,4272,14:33:54,22.01,Facultad de Quimica,Coyoacan Trailsway 363 75970,2009-08-19
68,EDCS991229HAPDVO10,OCNE991229LJ0,8865,14:16:24,21.41,Facultad de Ciencias,Tlahuac Elmside 83 37197,2013-01-31
69,OVMB971208HELTNU61,TKIX931225JC1,6413,13:20:32,27.27,Facultad de Ciencias,Iztapalapa Blaine 85180 89910,2013-03-18
70,WTAY901109MAPIQZ16,NCUD971105JY5,3621,13:13:07,42.31,Facultad de Quimica,Cuajimalpa Esch 323 18174,2018-01-30
71,EUXY791108HTWEJF98,SWUN881116UB9,9953,13:56:21,33.4,Facultad de Ciencias,Benito Juarez Melvin 85 51815,2011-03-22
72,QNWD951019HWEDJU66,ZMSO971204EF3,1178,14:22:15,42.66,Facultad de Psicologia,Tlalpan Armistice 97 78282,2008-09-17
73,MSPY971216HQPLNC76,XNQS801129GH8,1458,13:33:42,27.81,Facultad de Ciencias,Cuahutemoc Delaware 23 43198,2017-08-23
74,UXCQ801229HGHSDL95,IUBW621202BA4,8223,14:19:39,29.09,Facultad de Psicologia,Gustavo A. Madero Thompson 5 43283,2013-06-20
75,BHWM711129MAIZUJ89,XAWI611208JZ6,4277,14:12:59,8.77,Facultad de Quimica,Venustiano Carranza Trailsway 6285 86464,2015-09-02
76,CBDI981206MJBKAF91,YOIP981219ZU8,8726,14:13:21,35.85,Facultad de Quimica,Miguel Hidalgo Sachs 16 15725,2013-06-30
77,SYAJ911028HSZDIA63,SVPQ981228CQ2,7719,14:32:52,34.34,Facultad de Ciencias,Iztacalco Ridgeway 6472 32863,2013-12-02
78,LQRY961226HBWUNL97,IYUJ861208NL3,1981,14:08:17,19.13,Facultad de Ciencias,Azcapotzalco Kipling 40 14960,2009-10-19
79,LJKQ871129MJWASI04,OQJU801229IG9,8819,14:28:27,29.99,Facultad de Ciencias,Alvaro Obregon Sunnyside 63 49246,2013-10-17
80,ZOGW991208HTHEMY59,YKUB950826IM8,1046,13:05:48,39.31,Facultad de Ciencias,Coyoacan Morningstar 458 87990,2014-11-29
81,DXOR611129HIAZBC82,TYLW941229QJ3,3923,13:56:50,12.83,Facultad de Odontologia,Tlahuac Thackeray 4880 49495,2009-04-25
82,WJBT871028MWTDFE91,RIZK971106HY8,8056,14:09:41,36.41,Facultad de Odontologia,Iztapalapa Trailsway 54 39866,2018-11-05
83,PASV921115HVGCPY62,CVUL950529NU6,8364,13:50:35,26.75,Facultad de Quimica,Cuajimalpa Dixon 160 73288,2015-03-02
84,QCTV921228MRXAID14,LCYE921219LU8,1451,14:02:07,27.62,Facultad de Ciencias,Benito Juarez Autumn Leaf 89 70707,2015-01-10
85,DSWU961208MOGBEV35,ORDS821126PI5,4264,14:40:38,19.4,Facultad de Ciencias,Tlalpan Scoville 24354 56256,2012-01-27
86,TUMI941029MVERAN50,LJYT631029FT6,2036,13:10:09,37.49,Facultad de Quimica,Cuahutemoc Johnson 7911 26013,2011-03-29
87,TDBC901228HGUPZI18,XYWC991229RO1,2458,14:37:50,1.39,Facultad de Quimica,Gustavo A. Madero Northridge 3 90145,2015-11-03
88,SUQO621219MFAJLT48,LNFP971116GI2,2863,13:03:05,29.23,Facultad de Ciencias,Venustiano Carranza Cherokee 63865 83209,2018-04-11
89,DBJY641229HWACQN74,NEGI951229IG4,4083,13:04:00,42.66,Facultad de Quimica,Miguel Hidalgo Ryan 788 44861,2010-02-11
90,DMZS931127HXLFIV89,XHBO641206AB2,1979,13:31:35,28.19,Facultad de Ciencias,Iztacalco Westport 81037 50311,2018-05-21
91,QJGA631229MENPRQ37,BRAF801227ZC0,9719,14:09:07,1.95,Facultad de Ciencias,Azcapotzalco Hermina 13761 41507,2014-06-26
92,MADY651229HVEUCK71,YRGI891207IT2,2478,13:45:01,16.09,Facultad de Quimica,Alvaro Obregon Comanche 86823 59916,2011-11-25
