RFC,CURP,fecha_inicio
ohs668293017,jets991326attend51,2014-01-17
cue657815623,pays584851tuba's73,2007-11-24
aim882563674,tows372235guides05,2015-03-21
mow403127708,byte499544utters62,2008-01-23
elk798439354,ox's303412bomber27,2016-07-09
lit689269311,zeta347780clucks13,2008-08-16
tax698538405,bake995637hooray36,2004-01-19
hat434189124,open029820invert74,2011-05-26
ran034416120,puck746341golfer45,2010-10-16
I'm851182944,goes948599sapped79,2006-08-18
bow252604410,bulb026706whip's25,2006-06-18
sub735538680,pate398890calmed29,2007-07-30
par819406503,snob935362bronco33,2013-12-31
nil338161568,hilt584918pine's41,2016-11-24
pea994442835,loam276901raping38,2012-12-27
art748246286,when217523hooter30,2008-06-15
cam298918664,jeer770023regard85,2005-08-29
hit987658600,bust966109chests80,2015-01-08
nag850134826,gums478207pardon29,2010-01-27
out406391775,snip543862plowed73,2006-04-21
fly823647922,fund878582pony's84,2009-10-23
jug895306684,sops182039bait's51,2010-08-13
pep751121971,bear525016sorted17,2010-10-15
cur995269279,tomb956745crated49,2008-05-13
sup907632398,lush189197cage's57,2006-10-18
ear971761323,dabs441986cool's80,2014-06-01
sin406909652,bung321419desire45,2009-03-06
mow172436622,kiss630654bronco81,2015-12-09
tie691977687,zeal483051brazen99,2011-01-08
don949162368,tell513216junior67,2006-07-06
bar903003567,high880978list's04,2003-05-23
C's473561108,duty088849hooded38,2004-08-25
nun706411232,laid152761gonged39,2013-08-12
fox592398182,dove412356envoys83,2003-12-29
sin318378753,snug379494smarts21,2016-12-09
was303612535,rush739137voided19,2012-01-19
fit663014020,flog194223sole's39,2007-03-31
too842867960,gate287614rebuff40,2010-11-20
jaw672883597,ploy790234things12,2012-07-07
wet480265521,flak028690true's05,2005-09-16
rue643285883,duty471745ravels27,2016-04-02
ram797006166,gees918667prided22,2013-05-25
ova917806987,sobs978645rivals17,2006-06-28
rye728434365,sews059178likest52,2009-08-10
mod914907451,west679955wedder48,2006-06-03
vow926426930,dear116368lamp's78,2013-11-01
pun680869792,sour016885vermin40,2013-11-15
err032507272,wall142991strays95,2016-01-17
hip430806457,tidy312790vacant92,2014-03-26
err651849713,plop935984affect11,2017-09-18
fee660660279,waxy739406grades13,2011-06-28
hoe879106410,pixy548860inlaid51,2016-04-02
one577693699,turn028278malt's52,2015-02-15
bug652623557,warm357663fifths06,2006-02-02
sic320654376,spat832574malady22,2007-02-25
day173130104,gate098290race's73,2013-08-08
hay672727095,tomb186618trashy57,2013-05-21
shy372172456,lied544420sodium26,2015-07-25
hew849204847,wees524678storks86,2012-11-20
H's421293120,woks906514minted17,2005-09-19
sex242375703,urge615256spaced37,2003-03-12
see215467835,bani079371iris's26,2005-06-24
ear007972661,over957782ashing40,2011-04-20
qua146836639,shot828346lowest63,2016-12-15
out525560463,wont000995instil86,2011-04-25
sad151667099,help391409dopier22,2009-09-29
err165355144,inks079405skulls86,2011-04-15
ray412114369,haul748397choose08,2003-03-15
nit071752496,lyre376788vipers83,2008-11-06
fee303199886,meek338409pounds99,2006-01-13
god759838781,nips735464feudal55,2012-06-21
far939908050,talk159357nuclei84,2012-04-15
wed415341578,send656761voting51,2017-04-01
Mrs577451241,reis624741frying67,2009-05-01
fur725487737,dime065400denies55,2004-05-14
rev863643545,aids154915midway02,2005-05-07
day898779376,lots989067cancel20,2013-06-20
ton289854435,drab683354sway's16,2004-01-29
jug628923522,clad813522eave's61,2013-10-25
E's269333805,skit049046toiled22,2012-01-25
tot234764824,Mr's246565prudes50,2014-07-28
dip385674889,gift233472prayed24,2010-08-13
tie094738702,vans088992hire's98,2012-01-15
nun502440448,trip086311budges69,2007-01-07
N's135717258,gong056835stakes47,2013-11-14
fly485809572,ream606832triter16,2011-11-17
kin146948926,lazy367350hurray99,2012-07-16
how972509984,maul518347tackle35,2012-04-19
boo860737691,pats659606unpaid26,2006-08-25
ice928374927,rips617058phlegm32,2003-05-16
wit028065720,thee894468fronts49,2016-07-01
mat398572820,gyms621162juggle14,2007-07-19
C's345909569,glee826233bunked08,2011-08-18
tee450710413,hone036963learns31,2005-10-29
all864778784,eels031797sautés65,2006-07-06
hit285232471,nosy744643dearer71,2005-04-27
fog545600324,rugs586309bureau54,2006-10-25
gut572718597,taut042791pander64,2012-10-15
yet728568829,apex015589jade's99,2009-06-11
don161396324,spun388831amulet40,2010-12-17
