nombre,materno,paterno,f_nac,CURP,num,calle,ciudad,CP
Marleah,Truder,Kydde,1950-12-17,jets991326attend51,645,Meadow Vale,Arcangel,11044
Pyotr,Mather,Merill,1999-11-17,pays584851tuba's73,160,Kropf,Paso de los Libres,75330
Aubree,MacPherson,Ducker,1987-04-23,tows372235guides05,519,Burrows,Linhu,92956
Gery,Philipart,Jeandel,1989-03-04,byte499544utters62,685,Leroy,Versailles,39141
Sonni,Utterson,Torrijos,1995-10-29,ox's303412bomber27,922,Superior,Wuyang,65170
Lyn,Ibbetson,Satchel,1986-03-02,zeta347780clucks13,632,Judy,Kiruna,55053
Maurice,Beedom,Chatband,1981-04-09,bake995637hooray36,75,Hollow Ridge,Sambong,99475
Miranda,Solan,Celloni,1996-07-19,open029820invert74,334,Anniversary,Na Thawi,58082
Isac,Gaskoin,Childers,1984-08-13,puck746341golfer45,330,Michigan,Sebu,19890
Latashia,Devers,Richarz,1990-03-07,goes948599sapped79,632,Fisk,Rosh Ha‘Ayin,85662
Krisha,Hovenden,Brunone,1994-09-01,bulb026706whip's25,205,Nancy,Tha Wang Pha,48577
Denny,de Mendoza,Baumber,1997-11-28,pate398890calmed29,576,Moland,Singida,16346
Barrett,Scrannage,Veschambre,1981-04-28,snob935362bronco33,755,Lyons,Aghada,70917
Annelise,Esome,Abbado,1996-10-25,hilt584918pine's41,626,Paget,Karangbaru,69279
Lyman,Francombe,Blunsum,1991-02-15,loam276901raping38,776,Arapahoe,Stupari,83824
Armin,Corringham,Hackett,1983-07-21,when217523hooter30,855,Roxbury,Berdyans’k,82210
Bowie,Diaper,Glayzer,1995-05-31,jeer770023regard85,917,Scott,Ban Mo,20968
Halley,Wolfer,Stollenbeck,1985-07-25,bust966109chests80,156,Hovde,Morshansk,89381
Sayers,Swatman,Cobbold,1991-12-31,gums478207pardon29,67,Alpine,Andalan,71654
Corine,Martugin,Lamberts,1985-05-03,snip543862plowed73,359,Macpherson,Khāsh,96573
Britt,Ondricek,Flowerdew,1985-01-04,fund878582pony's84,528,Kedzie,Sambopinggir,43647
Scarlet,Turner,Fortnum,1999-11-01,sops182039bait's51,147,Corben,Emmen,39229
Georgetta,Latliff,Oldham,1991-10-04,bear525016sorted17,641,Cascade,Uren’,77081
Laney,Paull,Cordel,1983-02-16,tomb956745crated49,715,Forest Dale,Ningdun,17119
Mead,Punshon,Mound,1995-09-20,lush189197cage's57,545,5th,Saint Petersburg,20449
Riki,Curnok,Grigoliis,1990-11-11,dabs441986cool's80,887,Novick,Parakanhonje Wetan,35719
Lane,Ovey,Gallichan,1984-04-14,bung321419desire45,210,8th,Manyava,70966
Carmella,Yegorovnin,Colafate,1982-05-18,kiss630654bronco81,944,Fulton,Szczytno,64905
Stanfield,McLarnon,Treswell,1987-12-05,zeal483051brazen99,458,Stang,Thị Trấn Sìn Hồ,15564
Rhiamon,Gason,Kennelly,1987-07-09,tell513216junior67,66,Katie,Batanghari,93399
Tore,Creswell,Giacopini,1998-12-03,high880978list's04,335,Cherokee,Oebatu,50965
Peri,Cadagan,Tanslie,1994-05-25,duty088849hooded38,461,Farragut,Zherdevka,76451
Nicolle,Spincks,Kinnock,1993-03-14,laid152761gonged39,899,Sauthoff,Baishi,47240
Chris,Filippello,Campaigne,1983-11-29,dove412356envoys83,200,Corben,Majennang,11463
Ulberto,Tampen,Karpf,1993-01-12,snug379494smarts21,418,Florence,Khudāydād Khēl,22132
Mollee,Tremble,Orchart,1993-03-01,rush739137voided19,804,Prairie Rose,Pulilan,33633
Lothario,Albon,Cubbinelli,1989-11-18,flog194223sole's39,872,Hermina,Tolotangga,19930
Dorrie,Owtram,Waplinton,1999-06-11,gate287614rebuff40,492,Quincy,Ocuviri,81850
Matilda,McGoon,Duignan,1991-12-30,ploy790234things12,141,Sundown,Wādī Raḩḩāl,74945
Pam,Prantoni,Lapsley,1998-07-28,flak028690true's05,489,Kim,Porsgrunn,30194
Waite,Forsdike,Perrinchief,1993-08-14,duty471745ravels27,509,Tomscot,Didi Lilo,16512
Ealasaid,Giordano,Hasselby,1986-01-09,gees918667prided22,372,Heath,Yuqian,94351
Norene,Bennell,Celli,1982-01-01,sobs978645rivals17,47,Hazelcrest,Tower,54121
Linette,Antalffy,Bainbridge,1996-01-24,sews059178likest52,964,Birchwood,Amashca,16467
Keene,Letford,Mulholland,1992-01-26,west679955wedder48,546,Rockefeller,Embi,34339
Stephine,Stanex,Tune,1994-01-30,dear116368lamp's78,750,Wayridge,Jiusi,20811
Doll,Aslie,Handaside,1983-05-12,sour016885vermin40,762,Nancy,Xuanzhou,59664
Shirl,Tolefree,Goulston,1991-05-10,wall142991strays95,898,Hayes,Piedra del Águila,30625
Arlyn,Risbrough,Marks,1995-05-08,tidy312790vacant92,958,Namekagon,Jarry,12343
Marleah,Golley,Cottingham,1998-10-30,plop935984affect11,542,Graedel,Kebonkaret,14734
Aldric,Figures,Eldredge,1989-08-03,waxy739406grades13,261,Bunting,Rennes,21605
Nomi,Nudd,Sexon,1993-07-24,pixy548860inlaid51,152,Hansons,Gaotan,21963
Paige,Twigley,Lober,1991-05-14,turn028278malt's52,432,Saint Paul,Longxian,98063
Brewster,Rozenzweig,Mulheron,1992-12-03,warm357663fifths06,342,Spaight,Pestovo,90937
Debby,Chaise,Fowler,1984-02-12,spat832574malady22,522,Pearson,Ornontowice,94966
Suzy,Cumbridge,McDirmid,1996-05-31,gate098290race's73,771,Loomis,Petaling Jaya,12313
Kalina,Spoole,Lanceley,1984-08-13,tomb186618trashy57,161,Gale,Muhos,74332
Vincent,Pethrick,Hargrove,2000-06-01,lied544420sodium26,974,Dennis,Baishi,23975
Ki,Santhouse,Tebald,1999-07-06,wees524678storks86,523,Walton,Yangfang,92061
Francyne,Salvidge,Tiffin,1983-12-02,woks906514minted17,583,Dovetail,Laiponda,67488
Curran,Tankard,Cacacie,1993-05-11,urge615256spaced37,371,Farwell,Longjiang,31917
Emmeline,Godthaab,Hankins,1991-07-01,bani079371iris's26,747,Lakewood Gardens,Laval,17726
Nancee,Stonbridge,De la Yglesias,1990-04-12,over957782ashing40,759,Spaight,Lindavista,67834
Cassie,Scalia,Titt,1994-05-31,shot828346lowest63,30,Northwestern,Volosovo,97906
Falkner,Bulcroft,Tretwell,1987-10-11,wont000995instil86,445,Northridge,El Carmen,32513
Tobey,Ost,Cornils,1989-10-09,help391409dopier22,228,Messerschmidt,Gangkou,46823
Berke,Premble,Balnaves,1995-02-06,inks079405skulls86,233,Summit,Ussuriysk,56426
Job,Riley,Realff,1994-05-30,haul748397choose08,161,Superior,Cibunar,77027
Michal,Margrem,Zannolli,1990-11-28,lyre376788vipers83,641,Pine View,Pirajuí,44472
Alain,McKeurtan,Cockitt,1994-01-11,meek338409pounds99,968,Fuller,Teroual,54163
Karia,Freed,Arnowicz,1986-09-26,nips735464feudal55,9,Lukken,Toutai,20677
Karin,Betser,Sherebrooke,1983-01-18,talk159357nuclei84,775,Welch,Tenggina Daya,52700
Malia,Porson,Arbuckle,1981-01-30,send656761voting51,409,Pleasure,Lamas,31394
Lorilee,Killelea,Ronaghan,2000-03-14,reis624741frying67,78,Haas,Sakaidechō,74594
Lodovico,Klemt,Ovitts,1998-08-24,dime065400denies55,748,Graedel,Alca,63206
