CURPSUPERVISOR,CURPSUPERVISADO
jets991326attend51,dogs983355rustic51
pays584851tuba's73,coke962610shyest89
tows372235guides05,tubs339112resent79
byte499544utters62,okra353855stoles74
ox's303412bomber27,ID's247977nudged37
zeta347780clucks13,kelp515875tiffed10
bake995637hooray36,spur341740museum78
open029820invert74,wind301196eyelid10
puck746341golfer45,reds295810past's64
goes948599sapped79,dabs441986cool's80
bulb026706whip's25,lags113625punter58
pate398890calmed29,lips798825karats51
snob935362bronco33,bust966109chests80
hilt584918pine's41,anal004922turgid69
loam276901raping38,blur315816detail53
when217523hooter30,twin114484deli's50
jeer770023regard85,news696918life's32
bust966109chests80,claw441964cycles95
gums478207pardon29,cock813188reefed81
snip543862plowed73,byte499544utters62
fund878582pony's84,flea762539soared25
sops182039bait's51,lush189197cage's57
bear525016sorted17,told370897attics97
tomb956745crated49,spit093511canary15
lush189197cage's57,bobs661949sauted72
dabs441986cool's80,talk159357nuclei84
bung321419desire45,rods073514warp's20
kiss630654bronco81,dogs983355rustic51
zeal483051brazen99,bill653889intend64
tell513216junior67,ties236847copy's50
high880978list's04,myth767534guilds74
duty088849hooded38,lips798825karats51
laid152761gonged39,byte137303lobbed29
dove412356envoys83,firm650824leeway75
snug379494smarts21,reek192681feeble34
rush739137voided19,lush189197cage's57
flog194223sole's39,sock119426mast's39
gate287614rebuff40,prim729963marine16
ploy790234things12,feat656197ballot90
flak028690true's05,junk526427knot's20
duty471745ravels27,rule099337barter02
gees918667prided22,puck746341golfer45
sobs978645rivals17,poem688027ameers28
sews059178likest52,icon519805waited51
west679955wedder48,wide429807circle89
dear116368lamp's78,each229517cove's70
sour016885vermin40,bell466328frills93
wall142991strays95,warm357663fifths06
tidy312790vacant92,lots989067cancel20
plop935984affect11,hewn370636hiss's57
waxy739406grades13,poet323093atones86
pixy548860inlaid51,rods073514warp's20
turn028278malt's52,miss928663hang's58
warm357663fifths06,idol434985coupon33
spat832574malady22,romp788259stormy39
gate098290race's73,glee826233bunked08
tomb186618trashy57,drug712715loiter67
lied544420sodium26,bent763506radish21
wees524678storks86,ease835765maxima40
woks906514minted17,shoo409180primed08
urge615256spaced37,hilt005005gurgle49
bani079371iris's26,spit093511canary15
over957782ashing40,scan011532brutes91
shot828346lowest63,deaf773629rift's09
wont000995instil86,dove412356envoys83
help391409dopier22,swat460223star's45
inks079405skulls86,rude290340assist36
haul748397choose08,soli687168hobo's88
lyre376788vipers83,rook619161noodle54
meek338409pounds99,pays584851tuba's73
nips735464feudal55,zeal403052gadget91
talk159357nuclei84,bide343008grands09
send656761voting51,yous378120rinses57
reis624741frying67,balm299994croaks09
dime065400denies55,lazy367350hurray99
aids154915midway02,prod189070mended68
lots989067cancel20,helm950108fume's87
drab683354sway's16,buds576110sarees63
clad813522eave's61,kind829258sudden16
skit049046toiled22,redo787248snouts16
Mr's246565prudes50,cane921996rumors61
gift233472prayed24,idle715053bolted43
vans088992hire's98,spew478648allots58
trip086311budges69,soli687168hobo's88
gong056835stakes47,tier238480hidden21
ream606832triter16,cots610289cuddly21
lazy367350hurray99,byte137303lobbed29
maul518347tackle35,zeal403052gadget91
pats659606unpaid26,sera900585spouts62
rips617058phlegm32,rape059422snider96
thee894468fronts49,each229517cove's70
gyms621162juggle14,worm295689Eskimo39
glee826233bunked08,deny858712ring's27
hone036963learns31,shed520636choosy02
eels031797sautés65,maul518347tackle35
nosy744643dearer71,in's381337spasms48
rugs586309bureau54,peat442883jigsaw55
taut042791pander64,lure509552advert32
apex015589jade's99,lips798825karats51
spun388831amulet40,cure720723lumber91
fish218265status91,bung321419desire45
keel654630cordon19,hewn278596thaw's64
twin114484deli's50,swap106964greyer25
prim729963marine16,mans478433many's12
line456019canned14,look662464much's43
okra353855stoles74,teak548414sheave05
glib448652bursts72,hang721182creepy56
reef472250wart's51,chug284656meting75
gums966176picnic04,past161679pliers84
mama540192boat's13,rage301681yessed66
feds567934phoney21,gene946952homage63
glut718753what's53,fogs200781debugs46
mall002019mammas24,gust581195nation25
aide933623kink's20,bake995637hooray36
gals570810poking94,soot997527render10
cork140541rounds84,romp788259stormy39
drys632117mapper58,rats617893stinks07
spit438677mashes70,hide797066clouts31
