Salario,fecha_ingreso,RFC,CURP
41542,2002-03-09,tie691977687,snug379494smarts21
94960,2000-05-09,tot234764824,nips324033parrot03
86155,2007-10-05,Mrs577451241,reef472250wart's51
36669,2010-01-27,PTI151101TE5,caws249886kelp's36
31132,2017-02-08,tot234764824,suck599705nodded49
77715,2010-06-29,yet728568829,mans478433many's12
83380,2007-03-11,sub735538680,redo787248snouts16
88480,2017-08-15,shy372172456,moan012444lovely34
31557,2004-01-28,ear007972661,pram915147shorts31
38166,2015-08-31,too842867960,roam753039source82
52309,2001-08-19,hat434189124,meow321745stag's35
43257,2009-02-16,boo860737691,spat131598thwart50
13585,2014-02-23,day173130104,in's381337spasms48
19240,2008-08-07,nit071752496,fund878582pony's84
47118,2014-10-15,sup907632398,cagy325152mantel98
9841,2001-03-12,C's473561108,cots610289cuddly21
82310,2000-06-26,nit071752496,open029820invert74
9219,2009-03-09,mow172436622,anal004922turgid69
24149,2009-01-20,H's421293120,moms111108redder18
43965,2014-10-10,jug895306684,gift233472prayed24
52937,2005-01-30,all864778784,rips617058phlegm32
48911,2004-05-19,err651849713,soot997527render10
97185,2007-11-13,pun680869792,told370897attics97
16939,2008-11-10,fox592398182,wick386768chutes85
73508,2001-12-20,god759838781,yawn274565groove71
52577,2005-05-01,aim882563674,hone036963learns31
60038,2017-09-18,bar903003567,ease835765maxima40
70983,2010-09-23,nit071752496,mate360826killed24
18271,2001-08-21,H's421293120,smug751804peak's42
41901,2009-10-26,art748246286,grin797884lather22
55440,2003-05-05,pun680869792,vain615571saunas18
97076,2000-06-06,fee303199886,shot828346lowest63
61612,2011-10-09,fog545600324,idea433421taping80
37110,2012-03-30,mat398572820,skis925410room's11
27357,2007-08-05,out406391775,dope816409mosque66
13622,2001-08-01,hit987658600,clad813522eave's61
17573,2012-11-29,C's345909569,thee894468fronts49
38701,2009-03-17,bug652623557,helm950108fume's87
92482,2009-01-20,C's473561108,skit049046toiled22
23882,2011-02-20,lit689269311,duty088849hooded38
28922,2010-12-17,ear971761323,cots748252celery80
56868,2010-05-05,nun706411232,junk526427knot's20
34751,2008-09-05,fee660660279,jets991326attend51
88608,2003-10-21,fly485809572,spat131598thwart50
76880,2016-05-14,out525560463,line456019canned14
78311,2017-07-30,bug652623557,hags031953physic04
78958,2005-07-08,hit987658600,woks906514minted17
60135,2004-05-24,cur995269279,sulk579328fish's30
41344,2015-12-01,fee660660279,hind280115surfed08
54330,2017-03-18,art748246286,zeal483051brazen99
45127,2010-12-11,sub735538680,drys632117mapper58
64026,2006-09-05,tot234764824,duty088849hooded38
26134,2004-09-23,mow403127708,okra353855stoles74
28040,2017-01-30,hip430806457,fuse933996knocks60
57411,2014-01-14,sad151667099,cubs607528gamble96
36513,2017-05-26,don949162368,reek192681feeble34
81210,2010-05-25,hit987658600,torn530827ladled22
50801,2000-12-02,tie691977687,loan482943lack's74
21995,2000-03-31,rye728434365,lips798825karats51
47127,2013-04-14,cue657815623,SW's661835raider36
59851,2002-08-25,C's473561108,lips798825karats51
53285,2018-04-16,nag850134826,else063229pauses90
79250,2010-01-25,hat434189124,huff054700leered83
91808,2008-05-28,bug652623557,okra353855stoles74
26673,2015-04-25,ram797006166,tomb956745crated49
78357,2006-08-30,N's135717258,bake995637hooray36
